IDS_SCENARIO_GAISERIC "盖塞里克 (406)"
397410 "阿莱克修斯·科穆宁"
397411 "玛丽亚皇后"
397412 "瓦兰吉人"
397413 "札卡斯"
397414 "罗伯特·吉斯卡尔"
397415 "尼基弗鲁斯皇帝"
397416 "圣索菲亚大教堂"
397417 "<BLUE>守城将士：阿莱克修斯，陛下要召见你。他对你拒绝参与镇压篡位者梅里森诺斯一事很不高兴。"
397418 "<BLUE>僧侣：这些凯尔特人浑身一股臭味，而且还都是忘恩负义之徒！记得以前，在这些路上都只能看到正儿八经的罗马人。现在倒好，全是外国人！"
397419 "<BLUE>尼基弗鲁斯皇帝：阿莱克修斯，我知道你没有遵照我的命令杀死你妻子的兄弟。但我现在还有更重要的事得处理，这件事暂且放在一边，同时我也尊重你对家人的感情。"
397420 "<BLUE>尼基弗鲁斯皇帝：现在叛军和篡位者们正在挑战我的统治。我无法信任我自己的将军。我命令你招募一支军队并镇压这些叛军。"
397421 "<BLUE>尼基弗鲁斯皇帝：我把士兵们的军饷交给了我最信任的一名宦官手中。他就在城墙外的营地里等你。"
397422 "<BLUE>玛丽亚皇后：阿莱克修斯！好久不见了。下次再见你会是什么时候呢？"
397423 "<BLUE>玛丽亚皇后：噢，我的丈夫一直不让我见你！听着，我们可以甩掉他这个麻烦。去军营找那里的宦官。他会把我们的计划讲给你听。"
397424 "<BLUE>宦官：阿莱克修斯，是吗？皇后胃口虽大，但也很挑剔。如果她需要你，那你也一定有些价值。"
397425 "<BLUE>宦官：听着，我已经用皇帝的黄金买通了我们的政治盟友。但我们仍需要精兵强将。附近有叛军，但他们不肯听我的。也许你可以说服他们加入我们。"
397426 "<BLUE>宦官：但别让这些野蛮人破坏城墙！我们来这里是为了解放，不是攻城！想办法让他们进到城内。另外，除了城里的守军以外，什么都不准动。"
397427 "<PURPLE>宦官：我？不不不，这身护甲只是装个样子！我不是战士。我还是更擅长在宫廷中施展才能。"
397428 "+ 向皇帝报告。"
397429 "+ 向军营报告。"
397430 "+ 杀死皇帝的瓦兰吉卫兵。"
397431 "+ 在乡村征兵。"
397432 "+ 不要摧毁城门。"
397433 "+ 阿莱克修斯必须存活。"
397434 "<PURPLE>宦官：我早就说过了，我不是战士！我要退回宫廷，我在那儿比在这儿有用。"
397435 "<PURPLE>叛军领袖：你是约翰·科穆宁的儿子！我曾与你父亲并肩作战，帮助你的叔叔夺取王位。看看现在坐在那儿的是什么货色，真让我恶心。"
397436 "<PURPLE>叛军领袖：阿莱克修斯·科穆宁，就凭科穆宁这几个字，我也会助你一臂之力。不过有一点，别总让我们打没有希望的仗，我们已经因为土耳其人和诺曼人失去了太多小伙子。"
397437 "<PURPLE>宦官：虽然我不是将军，但我觉得你的人手足够对付皇帝了。赶快想办法进城吧。记住，别搞破坏！"
397438 "<PURPLE>宦官：我买通了内门的守卫，他们会放我们进去的。"
397439 "%d 分钟后密谋将会暴露并失败。"
397440 "<PURPLE>宦官：没时间了。我们磨蹭得越久，皇帝就越有可能盯上我们。"
397441 "<PURPLE>宦官：该死！皇帝知道了我们的计划！皇后正被人严密看守，你的家人也被囚禁了！"
397442 "<BLUE>守城将士：城里有叛军！拉响警报！"
397443 "<BLUE>尼基弗鲁斯皇帝：卫兵！拦住他们！"
397444 "<PURPLE>玛丽亚皇后：尼基弗鲁斯！你的时代结束了。把你的王座让给阿莱克修斯吧！"
397445 "<BLUE>尼基弗鲁斯皇帝：我的妻子连同我最信任的朋友一起背叛了我。让我安静地离开吧，我将从此销声匿迹。"
397446 "<PURPLE>宦官：我早就告诫过你不要破坏城门，蠢货！这下大家都会把我们当成入侵者了！"
397448 "<PURPLE>宦官：年轻的皇帝，愿你的统治万世长存，不过我们言归正传。过去 25 年里，曾有六个人坐上这把宝座，其中有五个都被废了。你也不想落得个同样的下场吧，对吗？"
397449 "<PURPLE>宦官：我准备了两份协定 (“提示”与“侦察兵报告”)，你最好都读一读。"
397450 "<PURPLE>宦官：完成后，你就可以组建军队，重建帝国了。"
397451 "合法性：<Variable 1>/100"
397452 "+ 击败塞尔柱土耳其王朝。"
397453 "+ 击败诺曼人。"
397454 "+ 合法性维持在 90 以上。"
397455 "<PURPLE>将军：顽强的色雷斯农村少年和安纳托利亚的羊倌之子都是优秀的罗马士兵。虽然他们不是凯撒军团的一员，但他们会列阵保护你的弓兵。"
397456 "<PURPLE>宦官：瓦兰吉人是北方的雇佣兵。他们崇尚武力，可以直接上阵杀敌。只需付出少量黄金，他们就会听候调遣。"
397457 "今年的税款已征收完毕。"
397458 "完成宦官的任务可以提高你的合法性。"
397459 "完成将军的目标可以提振军队士气，你麾下的军团兵与甲胄骑兵会在短时间内作战更加英勇。"
397460 "完成牧首的目标可以昭示你的虔诚，来自西方的十字军战士会前来为你助阵。"
397461 "宦官"
397462 "<PURPLE>宦官：瓦兰吉人是可怕的战士，但最重要的是，他们是您的帝国护卫。招募更多瓦兰吉人可以稳固统治的合法性，只是......别介意他们身上的臭味就好。 "
397463 "- 招募 <Variable 3>/20 名瓦兰吉人。"
397464 "<PURPLE>宦官：人民对你的护卫心怀敬畏，这降低了发生叛乱的可能性。现在，我们只需要弄点香水来，散一散瓦兰吉人身上的臭味......"
397465 "<PURPLE>宦官：克里特岛的统治者是一个叫做尼基弗鲁斯·狄奥吉尼斯的乱党，他与塞浦路斯的叛军结成了联盟。占领这两座岛屿可以进一步稳固你的统治合法性。"
397466 "- 征服克里特和塞浦路斯。"
397467 "<PURPLE>宦官：尼基弗鲁斯·狄奥吉尼斯还以为自己会当上皇帝。现在，他将在流放中浑浑噩噩地度过余生。人民认可了你的胜利。"
397468 "<PURPLE>宦官：你的征战为你赢得了好名声，但帝国在管理上仍然存在不足。改善管理问题需要一些费用，但绝对值得。"
397469 "- 在圣索菲亚大教堂研究帝王时代。"
397470 "<PURPLE>宦官：帝国行政管理上的改进对军队也大有裨益。现在你可以更快训练出军团士兵。"
397471 "将军"
397472 "<PURPLE>将军：陛下，安纳托利亚西北地区的指挥官已经有段时间没有报告了。我建议派一支军队穿过海峡去寻找他们的营地。 "
397473 "- 找到安纳托利亚西北地区的军营。"
397474 "<PURPLE>将军：我们已经守住了营地，但附近全是土耳其人。召集人手驻扎在这里，我们要继续搜索幸存者。"
397475 "- 找到失踪的军队。"
397476 "<PURPLE>将军：可恶的土耳其异教徒！我们的部队被他们引诱了过来，然后在这里惨遭屠戮！他们必须为此罪行付出代价！"
397477 "<PURPLE>将军：陛下，罗伯特·圭斯卡德率领的诺曼人对我们的西翼威胁很大！我们应该迅速赶往狄拉奇乌姆，击溃他们的入侵部队。"
397478 "- 摧毁诺曼营地。"
397479 "<PURPLE>将军：你拯救了狄拉奇乌姆，向诺曼人展示了我们的决心！士兵们绝不会忘记！"
397480 "牧首"
397481 "<PURPLE>牧首：阿莱克修斯皇帝，愿耶稣基督保佑您和您的帝国。我带来了一个提议。如果我们能找到并从异教徒手中夺回圣物，整个基督世界都会感受到我们的虔诚。"
397482 "- 夺回 <Relics Captured, 1>/3 件圣物。"
397483 "<PURPLE>牧首：蒙主恩惠，阿莱克修斯。西方王国的十字军战士得知您的虔诚慕名而来。"
397484 "<PURPLE>将军：这些叛敌的保加利亚人在巴尔干隘口设置了埋伏。将他们的军队赶尽杀绝，让他们明白招惹罗马帝国的下场。"
397485 "- 击溃巴尔干半岛的保加利亚人。"
397486 "<PURPLE>宦官：一位名为札卡斯的土耳其人宣称要夺取你的皇位，同时他调遣了一支土耳其军队前往士麦那对付你。消灭他，避免让他成长为你的心腹大患。"
397487 "- 杀死土耳其军阀札卡斯。"
397488 "- 杀死札卡斯。"
397489 "<PURPLE>宦官：札卡斯不会再威胁到我们了。那些本想支持他的反叛者们现在又退回了暗处。"
397490 "已解放塞萨洛尼基。税收收入将会增加。"
397491 "已解放米斯特拉斯。税收收入将会增加。"
397492 "已解放安提俄克。税收收入将会增加。"
397493 "已解放士麦那。税收收入将会增加。"
397494 "已解放塞浦路斯。税收收入将会增加。"
397495 "已解放克里特。税收收入将会增加。"
397496 "已解放巴里。税收收入将会增加。"
397497 "已解放埃德萨。税收收入将会增加。"
397498 "<PURPLE>宦官：统治合法性代表人民对你的爱戴程度......以及乱党在你背后捅刀的可能性。如果统治合法性低于 50，乱党就会造反。 "
397499 "<PURPLE>宦官：在战斗中损失士兵和建筑会降低统治合法性。我会为你提供增加统治合法性的任务。你也可以通过圆形剧场增加统治合法性。"
397500 "<PURPLE>牧首：陛下，许多朝圣者希望前往耶路撒冷，但异教徒封锁了的黎波里的路。您必须发动十字军拿下的黎波里，扫清前往耶路撒冷的道路。"
397501 "- 击败法蒂玛王朝。"
397502 "<PURPLE>牧首：上帝保佑虔诚的信徒。法蒂玛王朝被击败了，朝圣者前往耶路撒冷的道路已经畅通无阻。"
397503 "<PURPLE>牧首：我们与西方的兄弟们分隔太久了。也许可以派遣使团访问罗马的宗主教，借此调和我们信仰上的分歧。"
397504 "- 带 <Variable 7>/3 名僧侣前往西方的修道院拜访教皇。"
397505 "- 带 <Variable 7>/3 名僧侣前往西方的修道院。"
397506 "<PURPLE>牧首：为了纪念我们的和解，教皇承诺从法兰克和日耳曼的土地上向我们派遣十字军战士。"
397507 "<PURPLE>将军：多瑙河边上的士兵报告称佩切涅格人已经开始行动了。我们应该派一支军队保护我们的西北侧，以免受到这些异教徒的侧翼袭击。"
397508 "<PURPLE>将军：北方是一望无际的干旱草原，骑兵部落的侵袭不断，犹如茫茫黄沙席卷而来。我们只能沿着多瑙河修建防御工事来阻挡骑兵洪流。"
397509 "- 准备抵御佩切涅格人入侵。"
397510 "<PURPLE>将军：潮水一般的佩切涅格人正在穿过多瑙河！他们很快就会抵达君士坦丁堡！"
397511 "- 击退佩切涅格部落。"
397512 "<PURPLE>将军：我们把那些游牧人赶回了多瑙河对岸。尽管有很多同胞牺牲，但活下来的士兵会告诉他们的子孙，他们在保卫君士坦丁堡的时候是多么骁勇善战！"
397513 "<PURPLE>将军：多瑙河位于帝国的边界，是一道天然的屏障，河对岸是一群可怕的野蛮人，他们满脑子只知道掠夺和杀戮。"
397514 "<PURPLE>宦官：一些贵族聚集在他们的乡村庄园中意图谋反。您必须提高统治合法性，否则就会有乱党图谋您的王位。"
397515 "<PURPLE>宦官：突然出现了一名乱党，他声称自己是很久前被废黜的皇帝。许多心怀不满的贵族和士兵站到了他那边。内战一触即发。"
397516 "<PURPLE>宦官：这名乱党的军队被彻底击溃，他本人身败被俘并遭剜去双眼。强权和恐怖是您的统治手段，但您的王位暂时稳固无虞。"
397517 "<PURPLE>将军：皇帝受伤了！快护送他离开战场！"
397518 "每次阿莱克修斯受伤后，他都会重新出现在圣索菲亚大教堂，但合法性会降低。"
397519 "<PURPLE>宦官：圣索菲亚大教堂被敌人抢占！你的统治岌岌可危！"
397520 "<PURPLE>将军：土耳其人翻过山岭，夹着尾巴撤退了！我们洗刷了在曼齐刻尔特失利的耻辱！"
397521 "<PURPLE>将军：罗马士兵纪律严明，诺曼人的骑士团根本不是我们的对手！我们把他们赶出了意大利！"
397522 "<PURPLE>宦官：阿莱克修斯陛下，我必须承认，我曾对您抱有疑虑，但您已经证明自己是一位睿智而有手腕的领导者。您粉碎了敌人，带领我们重回辉煌的巅峰！"
397523 "你已经开始自由游戏。完成游戏后，删除阿莱克修斯·科穆宁即可卸下职责。"
397524 "自由游戏：删除阿莱克修斯·科穆宁即可退出剧本。"
397525 "春季 <Variable 8>"
397526 "夏季 <Variable 8>"
397527 "秋季 <Variable 8>"
397528 "冬季 <Variable 8>"
397529 "<PURPLE>将军：土耳其人没有直接对我们的城市发动攻击。他们想把我们从城墙后面引诱到开阔的草原，然后再对我们大开杀戒。"
397530 "<PURPLE>宦官：尽管我费尽心思地塑造您的合法性，但有些野心勃勃的将军似乎出于私利觊觎您的王位。一场叛乱正在酝酿，我可以感觉到。"
397533 "<PURPLE>宦官：在面包和马戏团上花钱都能提升您的合法性。不过，如果您在公开场合流露出对战车比赛中获胜队伍的偏爱，就能赢得更多民众的爱戴。"
397534 "支持<b>白队<b> (<cost>)\n举办战车比赛可以提升您的合法性。如果白队获胜，您可以额外提升合法性。随着使用次数增加，成本会不断提高。"
397535 "支持<b>绿队<b> (<cost>)\n举办战车比赛可以提升您的合法性。如果绿队获胜，您可以额外提升合法性。随着使用次数增加，成本会不断提高。"
397536 "支持<b>红队<b> (<cost>)\n举办战车比赛可以提升您的合法性。如果红队获胜，您可以额外提升合法性。随着使用次数增加，成本会不断提高。"
397537 "支持<b>蓝队<b> (<cost>)\n举办战车比赛可以提升您的合法性。如果蓝队获胜，您可以额外提升合法性。随着使用次数增加，成本会不断提高。"
397538 "当白色战车和红色战车在癫狂的马匹以及快速旋转的车轮中间激烈碰撞，人群中传来震耳欲聋的咆哮。绿队取得了胜利，所有人都注意到了，整个帝国都非常明智地支持这支队伍。"
397539 "红色战车的马匹威风凛然，其他队伍都相形见绌。红队获胜，皇帝也明智地选择支持他们，众人都看在眼里。"
397540 "三届卫冕的冠军战车手娴熟地穿梭在赛马场的弯道之间，他正带领着蓝队一步步迈向胜利。众人都留意到，明智的皇帝也是这位冠军的支持者。"
397541 "蓝队的战马受到了惊吓，迅速撞向红色战车，让白色战车得了渔翁之利。人们注意到皇帝正好明智地选择了支持获胜者。"
397542 "人群中发出惊呼声，两辆战车在疯狂转动的车轮和狂躁的马匹中撞在一起。这种场面实在令人挪不开双眼，以至于没有人注意到皇帝支持的是那支落败的队伍。"
397543 "卫冕的冠军战车手带领他的队伍取得了胜利。有人评论说皇帝的怀疑是愚蠢的，而过着富足幸福生活的民众根本不会在意。"
397544 "获胜队伍的马匹状态良好，轻松取得胜利。民众沉浸在观看表演的乐趣中，以至于未真正察觉到皇帝对一支失败的队伍偏袒有加。"
397545 "其中一支队伍的马匹受到惊吓，突然冲撞皇帝支持的对手战车。动物的本性难以预料，没有人会因皇帝的错误选择而责怪他。"
397546 "由于失败队伍的支持者冲到街头闹事，战车比赛被迫草草收场。为了恢复城市秩序，必须采取措施平息骚乱。"
397547 "丑闻：你多贪了几杯酒，宫廷里都对你的酒话议论纷纷。你因此失去 5 点合法性。"
397548 "丑闻：士兵因为掷骰子时发生争执，并演变成街头斗殴，最终致使一名元老院议员意外受伤。有人质疑为何皇帝连自己的士兵都控制不了。你失去 5 点合法性。 "
397549 "丑闻：一名向来颐指气使的宦官对他的男仆拳打脚踢。有路过的僧侣试图出手制止，但也遭到殴打。这件事对你的声誉有损，你的合法性减少 5 点。 "
397550 "丑闻：一名传教士在乡间散播异端邪说，你的合法性减少 10 点。"
397551 "丑闻：你的兄弟与一位女仆私通而使她怀有身孕。因为他是你的族人，这桩丑闻让你的合法性减少了 10 点。"
397552 "丑闻：外间盛传你的妻子和一位杰出的将军有染。这些流言蜚语肯定是子虚乌有，但却使你的合法性减少了 10 点。"
397553 "<PURPLE>将军：该死的佩切涅格人已经被赶尽杀绝！"
397554 "白色战车队赢了！"
397555 "绿色战车队赢了！"
397556 "红色战车队赢了！"
397557 "蓝色战车队赢了！"
397558 "一支战车队正在暴动！"
397559 "生产<b>瓦兰吉<b> (<cost>) 维京独特的步兵单位，可以缓慢自愈。适于攻击步兵和攻城武器。不适于攻击步弓手。<i>升级：攻击力、护甲 (铁匠铺)；速度 (兵营)；生产速度 (城堡)；提升抵抗僧侣的能力 (修道院)。<i>\n<hp> <attack> <armor> <piercearmor> <range>"
397560 "支持白队"
397561 "支持绿队"
397562 "支持红队"
397563 "支持蓝队"

// Komnenos (1081)

399011 "阿莱克修斯·科穆宁肯定已经意识到自己必死无疑。"
399012 "他受命于皇帝前去击杀篡位者梅利塞诺斯。阿莱克修斯向来悍不畏死，奈何他的亲妹妹却早已嫁给了那个篡位之人。不忍加害亲族的他选择了违背皇帝的敕令。"
399013 "如今阿莱克修斯受召前往宫廷。很显然，他在劫难逃。"
399014 "与此同时，在君士坦丁堡还是有不少人会支持他。阿莱克修斯在市场和元老院大厅中听到了一些闲言碎语：现在的皇帝不过是个糟老头子，他早已无力统御帝国，只能眼睁睁地看着自己的国家因为战争和叛乱分崩离析。"
399015 "他之所以还能大权在握，是因为众人仍然对他麾下那支由北欧维京人组建的瓦兰吉卫队存有忌惮。不过，也有人正在酝酿推翻他的计划。"
399016 "当阿莱克修斯前去觐见皇帝时，他意识到是时候采取行动了。"
399021 "备受土耳其人和诺曼人摧残的罗马帝国似乎已经奄奄一息。但正是在这个至暗时刻，罗马最聪明的儿子挺身而出，为帝国带来了新的希望。"
399022 "在推翻了无能的尼基弗鲁斯之后，阿莱克修斯开始一系列的改革和征讨，让帝国得以复兴。长达 37 年的励精图治证明了他无疑是帝国历史上最伟大的统治者之一。"
399023 "多亏了阿莱克修斯·科穆宁的出现，罗马帝国才得以存续。"

//
// Stephen (1135)
//

397601 "玛蒂尔达皇后"
397602 "切斯特的拉努夫伯爵"
397603 "苏格兰的大卫国王"
397604 "欧文·阿普·格鲁菲德国王"
397605 "诺曼底"
397606 "至高王特洛"
397607 "英格兰农民"
397608 "1. 你开局时的人口上限为 50 人，每占领一座城堡都会使上限提升 20 人，上限最高可提升至 250 人。\n\n2. 不列颠文明已调整至诺曼时期。在靶场可以训练长弓手，在城堡可以训练更强大的骑士变体——诺曼骑士。此外，还可以训练萨金特卫兵，可以建造城楼。\n\n3. 在剧本进行一段时间后，将会出现一位新的王位争夺者，并会对你的地位产生威胁。为了应对此次入侵战，务必要确保英格兰的基地固若金汤。\n\n4. 无法发起贸易，金矿也比较稀少。为了获取黄金，必须找到并守住圣物。\n\n5. 不需要征服威尔士与爱尔兰也能获得胜利，但征服他们可以获得额外的资源，其中黄金尤为重要。\n\n6. 保护好伦敦塔。一旦伦敦塔陷落，你就会输掉本局游戏。"
397609 "侦察兵报告：\n\n- 在征服者威廉的末子——亨利国王死后，布洛瓦的斯蒂芬火速加冕为英格兰国王。在兄弟温切斯特主教以及妻子布洛涅的玛蒂尔达的帮助下，斯蒂芬只控制住了伦敦的绝大部分区域。\n\n- 亨利国王之女——玛蒂尔达皇后 (黄色) 声称自己有权统治英格兰。她在王国南方找到了许多支持者，并召集了一支由骑士、长矛兵和熟练长弓手组成的军队。\n\n- 切斯特的拉努夫伯爵 (橙色) 实力强劲，占领了北方大片区域。作为守护英格兰边境的领主，他麾下有一支由骑士、萨金特卫兵和剑士组成的强大军队。\n\n- 苏格兰的大卫国王 (蓝色) 立誓拥护玛蒂尔达皇后的统治权，为了支援皇后自南方发起的行动，他将派遣军队自北方袭来。他的军队主要由步兵、轻型骑兵和攻城军队组成。\n\n- 威尔士人趁英格兰动乱发动了起义，领头者是欧文·阿普·格鲁菲德国王 (青色)。虽然想要获胜并不一定需要击败威尔士人，但如果放任不管，他们会不断派遣步兵与掷矛手前来袭扰。\n\n- 爱尔兰高王 (绿色) 对英格兰发生的事情漠不关心，斯蒂芬也不能调遣资源跨过爱尔兰海。不过，要是有英格兰附庸对爱尔兰发起入侵，那爱尔兰或许能在这场权力斗争中发挥作用。\n\n- 最后要介绍的是诺曼底 (灰色)，这个横跨海峡的势力暂时还不会对斯蒂芬的英格兰统治权产生威胁。但是，如果将来要是出现新的王位争夺者对你构成威胁，那此人一定来自诺曼底。"
397610 "史蒂芬国王"
397611 "玛蒂尔达女王"
397612 "温切斯特的亨利"
397613 "至高王特洛"
397614 "你的王国分崩离析，叛乱四起。"
397615 "已逝国王之女玛蒂尔达，曾经是德国的皇后，她如今窃据南方的领土。北方的切斯特伯爵拉努尔夫，此时也悍然反叛。威尔士的叛乱和苏格兰的入侵都对王国构成威胁。"
397616 "你必须粉碎他们以及任何对王位有所觊觎者，向全世界宣誓统领英格兰是你的天命所归。"
397617 "你只握有伦敦一城，但削弱敌城一半力量便能将其囊括掌中。周边的村庄和城镇将纷纷臣服，从而提高你的人口上限，让你能够组建一支更加庞大的军队。"
397618 "英皇侍卫开始使用威尔士长弓。在靶场训练这些长弓手吧。"
397619 "骑士只能在城堡中训练。利用马厩征募一些轻骑兵。"
397620 "城楼或城堡是训练萨金特卫兵和重装诺曼武士的防御工事。萨金特卫兵还能建造城楼。"
397621 "王国的无政府状态掐断了贸易路线。你无法建造市场开展贸易，只能靠搜集圣物来寻求来自教堂支持，从而稳固王权。"
397622 "这片土地终将归你统治，不要对领土上的村庄造成不必要的破坏才是明智之举。集中攻城，周边乡村必将自愿投降。"
397623 "你已从敌人手中夺得第一座城堡。农民们感念你帮助他们摆脱不正义的统治。"
397624 "城堡还可以用来招募诺曼骑士。这种骑兵十分强悍，但训练成本高昂。"
397625 "一名效忠于你的诺曼冒险家率领远征小队登陆爱尔兰。如果他能控制整座岛屿及其资源，即使是冲动入侵，也可能对你有利。"
397626 "你的诺曼封臣已征服爱尔兰的大部分地区。岛上的盖尔人将对你倾其所有，助你成就大业。"
397627 "以你的名义入侵爱尔兰的诺曼冒险家已被有独立思想的岛民驱逐离岛。"
397628 "平息威尔士之乱并非当务之急，但有助于你牢牢掌控威尔士的资源。夷平威尔士土地上的所有建筑，终结他们的无休止侵扰。"
397629 "威尔士已臣服，他们的王公不再对你的王国构成威胁。这片土地上的资源尽归你所有。"
397630 "玛蒂尔达皇后已退守她的最后一座城堡。占领这座城堡，彻底消除她的威胁。"
397631 "<YELLOW>玛蒂尔达皇后：我的儿子会为我报仇的，我发誓！"
397632 "苏格兰国王已撤离英格兰，你的北方边境恢复了安宁。"
397633 "你已经打败了背信弃义的切斯特伯爵。"
397634 "玛蒂尔达皇后的儿子已经成年。冲动年少必将驱使他争夺你的王位。你应该未雨绸缪，防范他的入侵。"
397635 "<GREY>亨利·菲茨埃姆普雷斯：站一边去，斯蒂芬。作为最后一任合法国王的外孙，统治英格兰是我与生俱来的权利。"
397636 "亨利的军队几乎全军覆没。追击他的残余力量，结束他对你的统治所构成的威胁。"
397637 "<GREY>亨利·菲茨埃姆普雷斯：我绝无可能觊觎英格兰。法兰西的土地都令我自顾不暇。"
397638 "亨利·菲茨埃姆普雷斯正式放弃了对英国王位的野心。考虑到已无人争夺王权，你可以在伦敦塔召开会议，接受残余叛乱者的投降。"
397639 "你现在可以在伦敦塔宣告胜利，或继续以残酷的武力征服剩下的敌人。"
397642 "<YELLOW>玛蒂尔达皇后：我的父亲从没属意过你，斯蒂芬。那些男爵也没有。这就是他们支持我的原因，因为我才是合法的女王。"
397643 "<YELLOW>玛蒂尔达皇后：你和你的父亲一样懦弱胆小。如果我没记错的话，他竟在安条克背弃了十字军战士，并劝说罗马皇帝掉头撤兵？"
397644 "<YELLOW>玛蒂尔达皇后：他至少还有勇气坚守圣地而不归。对于他的结局，我确信我的姑妈丝毫不抱悲伤之情。"
397645 "年份：公元 <Year> 年"
397646 "亨利的军队：<Military Population, 6> 个单位"
397647 "+ 占领 <Castles Captured>/10 座城堡。"
397648 "+ 占领 <Castles Captured>/10 座城堡。"
397649 "+ 准备迎接新的王位争夺者。"
397650 "+ 击败亨利·菲茨埃姆普雷斯。"
397651 "- 击败欧文·阿普·格鲁菲德国王，平定威尔士。"
397652 "- 平定威尔士。"
397653 "- 在爱尔兰建立一座诺曼基地。"
397654 "- 击败至高王特洛，将爱尔兰纳入版图。"
397655 "- 击败爱尔兰。"
397656 "你已经开始自由游戏。完成游戏后，可以在伦敦塔宣告胜利 (特殊科技) 来退出剧本。"
397657 "自由游戏：在伦敦塔宣告胜利即可退出剧本。"
397658 "- 摧毁城堡可将其占领。"
397659 "亨利·菲茨埃姆普雷斯"
397660 "结束无政府状态"
397661 "伦敦塔已被摧毁！"
397662 "+ 伦敦塔不能被摧毁。"

// Stephen (1135)

399031 "征服者威廉的最后一个儿子亨利国王死了，一个子嗣都没有留下。"
399032 "在英格兰的贵族们争吵不休之际，已故国王的侄子史蒂芬入主伦敦，加冕为王。"
399034 "史蒂芬国王现在面临的是历代国王都未曾遇到过的挑战。他所面对的是叛乱的伯爵、实力强大的亨利国王的女儿、威尔士叛军以及苏格兰人的入侵。"
399035 "一时间可谓是举国大乱…"
399041 "实际上，史蒂芬国王未能建立新的王朝。为了平息英格兰的乱局，他同意让已故亨利国王的女儿玛蒂尔达的儿子亨利·菲茨埃姆普雷斯继承王位。"
399042 "这一举动可谓明智至极，终结了滋扰整整一代英格兰人的斗争。"
399043 "举国大乱的局面终于结束。属于金雀花王朝的时代就此拉开序幕。"

//
// Temujin (1185)
//

397701 "西夏"
397702 "大金"
397703 "蔑儿乞部"
397704 "克烈部"
397705 "乃蛮部"
397706 "鞑靼人"
397707 "蒙兀国"
397708 "1. 突袭行动危险重重，尤其是铁木真的麾下只有寥寥数人。敌人数量一多就该马上逃跑，保住性命下次再来才是明智之举。\n\n2. 保护好你的村民，毕竟村民只能靠摧毁数量不多的大型蒙古包和举办库里姆才能获得。\n\n3. 虽然你可以随心所欲地开展外交，但在树敌时千万要小心，有几个势力很不好惹。\n\n4. 抓住一切机会举办库里姆。这些宴会可以为你带来英雄、村民、人口增长、新科技与源源不断的资源。\n\n5. 蒙古人对攻城器械尚不熟悉。虽然用骑兵来攻城损失颇大，但这是敲开定居王国的大门并获得其中财富的唯一办法。摧毁西夏和大金的建筑可获得食物、木材以及黄金。\n\n6. 在历史上，铁木真是在统一蒙古众部落之后才开始征战西夏和金国。虽然在有条件时可以尝试完全击败定居王国，而不只是对他们发动突袭，但在蒙古未能得到统一的情况下，想要完成目标可谓是难上加难。"
397709 "侦察兵报告：\n\n- 铁木真以及其出身的孛儿只斤氏只是一个更大联盟的一部分，此联盟名为蒙兀国 (灰色)。每举办一场库里姆 (宴会)，铁木真的地位就会稳固一分，就会有更多的蒙兀国人加入到他的麾下。\n\n- 蔑儿乞部 (黄色) 掳走了铁木真的妻子孛儿帖。这帮人无法无天，肆意袭扰中部草原的营地。\n\n- 克烈部 (蓝色) 由王汗率领，对铁木真持友好态度，他们生活在铁木真所在地以南的岩地上。\n\n- 鞑靼人 (青色) 占据着东部平原与南部沙漠边缘，与定居王国接壤。虽然他们的主要战力是轻型骑兵与骑射手，不过他们也开始将骆驼投入战场了。\n\n- 乃蛮部 (绿色) 由塔阳汗统领，统治着阿尔泰山脉的西部山麓，麾下有大量的蒙古突骑与骑士。作为聂斯托里教派的基督徒，他们的僧侣已经等不及要向其他部落传播自己的信仰了。\n\n- 最后介绍的是在戈壁沙漠的另一端，位于遥远东南方的定居王国。西夏 (紫色) 曾经也是游牧民族，但如今已经定居下来，并建立了王国来统治臣民。他们的军队由长矛兵、掷矛手、弓兵以及弩炮组成。\n\n- 与西夏类似，大金国 (红色) 当年也是游牧民族，他们征服了定居的人民，并融入了他们的社会。大金国背靠长城，搭配诸葛弩、剑士与骑士军队来驻守边境。"
397710 "札木合"
397711 "王汗"
397712 "铁木真"
397713 "萨满教巫师"
397714 "克烈部公主"
397715 "鞑靼公主"
397716 "塔阳汗"
397717 "乃蛮公主"
397718 "鞑靼汗"
397719 "佛教僧侣"
397720 "一名村民出现在了蒙古包处。"
397722 "在掠夺欲望的加持和多金使者的利诱之下，兄弟之间接连反目，草原上掀起了一片腥风血雨。"
397723 "乱世之下，有人希望能够出现一位大汗，统一各个部落并带领蒙古子民建立一个伟大的帝国。"
397724 "铁木真出身于孛儿只斤氏，该氏族曾经显赫一时，但现在没落不堪。敌对部落蔑儿乞更是把铁木真的妻子孛儿帖掳为人质。"
397725 "虽然结拜兄弟札木合率兵援驰，不过铁木真需要实力更强大的可汗的帮助才能救出他的妻子。"
397726 "铁木真过世先父的结拜兄弟王汗会帮助这位年轻的蒙古领袖完成他的任务。铁木真必须前去觐见这位大汗。"
397727 "<ORANGE>札木合：与我结拜的兄弟啊，蔑儿乞人毫无荣誉感可言！即使是克烈人都看得出来你在行正义之事。"
397728 "<BLUE>王汗：你父亲很久以前帮过我，我也要还他这份恩情。铁木真，这些母马送你的族人。"
